cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2022,1842,Víctimas
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,33,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,93,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,71,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,85,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,83,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,125,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,100,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,88,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,72,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,109,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,87,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,70,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,88,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,116,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,128,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,129,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,94,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,87,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,91,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,107,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,104,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,127,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,166,Accidentes
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1997,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1998,5,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1999,5,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2000,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2001,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2002,0,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2003,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2004,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2005,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2006,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2007,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2008,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2009,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2010,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2011,20,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2012,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2013,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2015,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2016,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2017,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2020,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2022,3,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1997,29,Víctimas
